fbs_item_code,fbs_item,found_in,category
2511,Wheat and products,"bilateral, nutrition, sua",
2513,Barley and products,"bilateral, nutrition, sua",
2514,Maize and products,"bilateral, nutrition, sua",
2515,Rye and products,"bilateral, nutrition, sua",
2516,Oats,"bilateral, nutrition, sua",
2517,Millet and products,"bilateral, nutrition, sua",
2518,Sorghum and products,"bilateral, nutrition, sua",
2520,"Cereals, Other","bilateral, nutrition, sua",
2531,Potatoes and products,"bilateral, nutrition, sua",
2532,Cassava and products,"bilateral, nutrition, sua",
2533,Sweet potatoes,"bilateral, nutrition, sua",
2534,"Roots, Other","bilateral, nutrition, sua",
2535,Yams,"bilateral, nutrition, sua",
2536,Sugar cane,"bilateral, nutrition, sua",
2537,Sugar beet,"bilateral, nutrition, sua",
2541,Sugar non-centrifugal,"nutrition, sua",
2542,Sugar (Raw Equivalent),"bilateral, nutrition, sua",
2543,"Sweeteners, Other","nutrition, sua",
2546,Beans,"bilateral, nutrition, sua",
2547,Peas,"bilateral, nutrition, sua",
2549,"Pulses, Other and products","bilateral, nutrition, sua",
2551,Nuts and products,"bilateral, nutrition, sua",
2552,Groundnuts,"bilateral, nutrition, sua",
2555,Soyabeans,"bilateral, nutrition, sua",
2557,Sunflower seed,"bilateral, nutrition, sua",
2558,Rape and Mustardseed,"bilateral, nutrition, sua",
2559,Cottonseed,"nutrition, sua",
2560,Coconuts - Incl Copra,"bilateral, nutrition, sua",
2561,Sesame seed,"bilateral, nutrition, sua",
2562,Palm kernels,sua,
2563,Olives (including preserved),"bilateral, nutrition, sua",
2570,"Oilcrops, Other","bilateral, nutrition, sua",
2571,Soyabean Oil,"bilateral, nutrition, sua",
2572,Groundnut Oil,"bilateral, nutrition, sua",
2573,Sunflowerseed Oil,"bilateral, nutrition, sua",
2574,Rape and Mustard Oil,"bilateral, nutrition, sua",
2575,Cottonseed Oil,"nutrition, sua",
2576,Palmkernel Oil,"bilateral, nutrition, sua",
2577,Palm Oil,"bilateral, nutrition, sua",
2578,Coconut Oil,"bilateral, nutrition, sua",
2579,Sesameseed Oil,"bilateral, nutrition, sua",
2580,Olive Oil,"bilateral, nutrition, sua",
2581,Ricebran Oil,"nutrition, sua",
2582,Maize Germ Oil,"bilateral, nutrition, sua",
2586,"Oilcrops Oil, Other","bilateral, nutrition, sua",
2601,Tomatoes and products,"bilateral, nutrition, sua",
2602,Onions,"bilateral, nutrition, sua",
2605,"Vegetables, other","bilateral, nutrition, sua",
2611,"Oranges, Mandarines","bilateral, nutrition, sua",
2612,"Lemons, Limes and products","bilateral, nutrition, sua",
2613,Grapefruit and products,"bilateral, nutrition, sua",
2614,"Citrus, Other","bilateral, nutrition, sua",
2615,Bananas,"bilateral, nutrition, sua",
2616,Plantains,"bilateral, nutrition, sua",
2617,Apples and products,"bilateral, nutrition, sua",
2618,Pineapples and products,"bilateral, nutrition, sua",
2619,Dates,"bilateral, nutrition, sua",
2620,Grapes and products (excl wine),"bilateral, nutrition, sua",
2625,"Fruits, other","bilateral, nutrition, sua",
2630,Coffee and products,"bilateral, nutrition, sua",
2633,Cocoa Beans and products,"bilateral, nutrition, sua",
2635,Tea (including mate),"bilateral, nutrition, sua",
2640,Pepper,"bilateral, nutrition, sua",
2641,Pimento,"bilateral, nutrition, sua",
2642,Cloves,"bilateral, nutrition, sua",
2645,"Spices, Other","bilateral, nutrition, sua",
2655,Wine,"bilateral, sua",
2656,Beer,sua,
2657,"Beverages, Fermented","nutrition, sua",
2658,"Beverages, Alcoholic","nutrition, sua",
2659,"Alcohol, Non-Food",sua,
2680,Infant food,sua,
2731,Bovine Meat,"bilateral, nutrition, sua",
2732,Mutton & Goat Meat,"bilateral, nutrition, sua",
2733,Pigmeat,"bilateral, nutrition, sua",
2734,Poultry Meat,"bilateral, nutrition, sua",
2735,"Meat, Other","nutrition, sua",
2736,"Offals, Edible","bilateral, nutrition, sua",
2737,"Fats, Animals, Raw","bilateral, nutrition, sua",
2740,"Butter, Ghee","bilateral, nutrition, sua",
2743,Cream,"bilateral, nutrition, sua",
2744,Eggs,"bilateral, nutrition, sua",
2745,Honey,sua,
2761,Freshwater Fish,"bilateral, nutrition, sua",
2762,Demersal Fish,"bilateral, nutrition, sua",
2763,Pelagic Fish,"bilateral, nutrition, sua",
2764,"Marine Fish, Other","bilateral, nutrition, sua",
2765,Crustaceans,"bilateral, nutrition, sua",
2766,Cephalopods,"bilateral, nutrition, sua",
2767,"Molluscs, Other","bilateral, nutrition, sua",
2768,"Meat, Aquatic Mammals","nutrition, sua",
2769,"Aquatic Animals, Others","bilateral, nutrition, sua",
2775,Aquatic Plants,"bilateral, nutrition, sua",
2781,"Fish, Body Oil","bilateral, nutrition, sua",
2782,"Fish, Liver Oil","bilateral, nutrition, sua",
2807,Rice and products,"bilateral, nutrition, sua",
2848,Milk - Excluding Butter,"bilateral, nutrition, sua",
2899,Miscellaneous,"nutrition, sua",
unknown,Apples and products,supply,
